# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
6

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,PodGeom,0,CYTXVPRPPI,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,19,9
# x,y,z,u,w
4.054869684499314175e+00, 4.984910836762688757e-01, 0.000000000000000000e+00, 8.888888888888888395e-01, 1.000000000000000000e+00
4.054869684499314175e+00, 3.524173113345036024e-01, -3.524173113345036024e-01, 8.888888888888888395e-01, 1.500000000000000000e+00
4.054869684499314175e+00, 0.000000000000000000e+00, -4.984910836762688757e-01, 8.888888888888888395e-01, 2.000000000000000000e+00
4.054869684499314175e+00, -3.524173113345036024e-01, -3.524173113345036024e-01, 8.888888888888888395e-01, 2.500000000000000000e+00
4.054869684499314175e+00, -4.984910836762688757e-01, 0.000000000000000000e+00, 8.888888888888888395e-01, 3.000000000000000000e+00
4.054869684499314175e+00, -3.524173113345036024e-01, 3.524173113345036024e-01, 8.888888888888888395e-01, 3.500000000000000000e+00
4.054869684499314175e+00, 0.000000000000000000e+00, 4.984910836762688757e-01, 8.888888888888888395e-01, 4.000000000000000000e+00
5.000000000000000000e+00, 0.000000000000000000e+00, 5.000000000000000000e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
5.000000000000000000e+00, 3.534840670925332162e-01, 3.534840670925332162e-01, 1.000000000000000000e+00, 5.000000000000000000e-01
5.000000000000000000e+00, 5.000000000000000000e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
5.000000000000000000e+00, 3.534840670925332162e-01, -3.534840670925332162e-01, 1.000000000000000000e+00, 1.500000000000000000e+00
5.000000000000000000e+00, 0.000000000000000000e+00, -5.000000000000000000e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
